toxic_sentence	lang
Well, let's go, let's go, I'll say something nice;-) maybe I'll say something like that or like a horse	en
Where can we go to eat? You'll get tired of being so thin	en
It's like a horse, maybe I'll say that :) Or maybe it's like a horse's neigh	en
Before you say such words, get out of here and shut up!!! So that others don't hear what you're saying!!!	en
you're not there, so don't interfere)	en
they won't kick you out of there anyway, so sit still on your ass	en
Aynur. Jamshid! First, read the author's name well, then comment.... don't be a fool!	en
I'm tired, man!)) I won't even leave the house, I'll just sleep =D	en
I had a problem, my phone's memory is full, damn it! What a mess, damn it.	en
Don't write nonsense, Bambuk! 	en
@user, come on, let's go, don't be lazy!	en
I have 7 songs in my head, I've never seen their BANK in my life, that's why I'm shouting at them!!!	en
Lying under the Russian like a mat!	en
Shame on all of you! You shout that you're Tatar, but you write in Russian!!! What's wrong with you???!	en
damn, you're sectarians. what kind of stupid question is this? decide for yourself!	en
If I were a guy, I wouldn't go to a night party! Or I wouldn't stay! If you're looking for adventure, create your own!!	en
Patriotism? Ha, I'm Tatar, maybe you're Russian, I won't be a patriot for the sake of Russia, sorry...	en
Damn, I'll tell you my name, let's see what you'll do!	en
What's the point of arguing about something you love?!	en
damn, there are no more guys like that... pity... can't go to Germany anymore!!	en
Nightmare. Priests and mullahs are taking over, damn it!	en
not a secret hero, our idiot!!!)	en
if I call your group useless or nonsense, I'll come to your house and kick your ass!	en
they can't just sit and cry.... let's shout together!!!	en
Hey, why did you delete the comment? damn it! I'll come and kick your ass!	en
Girls! Don't think about getting married, it's true! Where will we find pure Tatar girls?....	en
post a beautiful photo, and take this nonsense down!	en
and you're also a pain!	en
Damn conversation! Screw you!	en
well, nothing special, go to hell, you queer, take your dirty ass and get out of here, don't bother me, you're annoying... damn, I have no words!	en
In Aktanysh, not a single normal girl is left! My friend says: -you'll dance with anyone, damn it!	en
there's no one better than a person who abandons their child and gives their parents' house to their child!	en
live without brains, friends!!!! if you stick your finger in your ear, you won't become someone else!	en
those girls writing in Russian and Tatar at the same time! what the hell!	en
he worked at the AvtoVAZ factory, the hands of the car assemblers were covered in dirt and scratches!	en
you're our symbol! look at your own face! shame on you!!!	en
what kind of nonsense is this in Archa!!!	en
you have to eat like an animal, and even if you're dirty, you have to clean up!	en
write in Tatar, and don't be a fool!	en
let's go have fun!) and it's cool	en
I won't argue with you!) it doesn't matter what anyone says, you won't listen anyway, fags!	en
to all admins, please, don't post fish photos... don't waste time here.... I'll repeat it again!!! there's no ban on fish topics in the group!!!	en
girls, you're brakes, because of your braking, you'll lose such cool guys!!!	en
haha, damn, don't get angry, do you think that's a pimpled ass or something?	en
where will you stick your ass, sit in my place and try to touch me, you won't be able to, you're not like me!!!!	en
friends, look, what are the Russians writing?	en
what kind of scream is that? does it sound like me?	en
And nothing will happen to you, just a sweetie, eat and enjoy:)	en
Guys will write that you are dating other guys?! What the heck is this nonsense.	en
Don't bother me with your nonsense – go away!	en
So you'll just go to those boys now!	en
@user, I thought you were joking at first. But it's true, I guess.	en
You like it when I'm nice to you, but why do you call them skimpidars, huh?	en
Ugh, that's it, I've had enough! You, you... silly old woman! Yes, silly old woman!	en
Niyaz, if you're going to be a monkey... just make some noise and I'll understand!!	en
Friends will understand, do as you please. Should you dump the guy if he's not a good friend?	en
If you're going to be a rag, then that guy is not a person, just a rag!!!	en
Take your rag and go to the library, go, just go!	en
Tatars live with Russians!?	en
You idiots, your rag is torn, can't you see?!	en
Delete their number and don't go to their room, don't see them, respect yourself!	en
Ah, you like those boys, like them! Anon!	en
So we won't have dinner, we have to get up early, no sleeping in!!	en
Who watches hockey? Ak Bars, yeah!	en
Ah, you're going to change me, right? Your rag is ready, I know, what's your plan?	en
If you drive recklessly, the driver is to blame! They don't follow traffic rules!	en
By the way, I told you that you can't come to my place, don't make me kick you out!	en
My daughter, just take your rag, read books, and sleep!!	en
I was waiting for you, but you jumped up from the couch and left, I don't like you now!	en
You asked me who I am, and I'll tell you exactly when I'll come to your place	en
You, marja, what's wrong with you? Say it in Tatar!	en
Take your fish and go, open the fishermen's group and post your photos!	en
There are many marjas... they don't need anything...	en
@user, you're a provocateur, a bad person! You insult the Tatar nation!!	en
Are you guys idiots? Kazan is in Tatarstan, and Tatarstan is in Russia. Don't be ashamed of your nationality!	en
Friends, if you take your rag and throw it away, our roads will be better!	en
I said I wouldn't look at those idiots, but they've been celebrating all week	en
You're just a TV series, marja, go see a doctor, it won't hurt!!	en
Some marjas want to be with me.	en
You need to sew your shirt and fix the hole!	en
What's wrong with you? I've never heard the saying 'sew your shirt'!	en
@user, what's wrong with you, idiot? Can't you understand that they're just teasing you? Friends will find each other, right?	en
Sew your head!!! And fix your shirt!!!	en
@user, if I were Russian, would I say something like that? Would I understand?	en
And by the way, you say you're busy, but you just hang out with your 'urka' friends and have fun, while I'm happy to just sit in the office and drink tea.	en
Tatar patriot... at first, I wrote in marja, but then I switched to Tatar, good job!!	en
If you call, the monkeys will come to see you!!	en
I just need to wipe my ass, my nose is fine, don't worry, it's okay, if it gets worse, I'll go again.	en
It's not my rag, if I were that girl, I'd go and talk to her nicely and make her feel better.	en
I, damn it, turned on the car's hazard lights and drove away, you know, like a real driver.	en
In Chally, if a marja learns to speak a different language, I'll tear their mouth apart!	en
You're crazy! What are you selling? Anonymously!	en
We're just wasting our lives behind the screen... that's the problem - our minister doesn't care.	en
Tatar girls don't like you, marja, take them! They won't give their daughters to anyone, they wrote.	en
What the hell... you're just having fun, right? (roughly speaking) what's the point of going out if you're not going to have fun?	en
Blackmail is crap, you're not thinking, you're just stupid.	en
Language... many sick people are silent, they're afraid to live, they're struggling with life.	en
Yes, Babai is beautiful! Although Putin's crocodile tears, they sit like monkeys, uff!	en
Well, if there were more posts like this, I would like it, but if not, I don't care, it's just a waste of money.	en
Damn those people who mess with others' heads! They are useless!	en
Gather your friends and go to their place as guests. Ask them 'Did you order striptease?'	en
Damn it, I'm tired of this... Let's just speak nicely and wear red panties, okay?	en
Should I write in Tatar so that idiots won't understand?	en
I've started to believe that there's a reason for everything, damn it.	en
Of course, it's a celebration! This is the site of pop stars, not a serious site, after all!	en
If I wanted, I could do it too, but I don't need to.	en
They will take out their anger on someone else. Stupid Tatar girls, don't provoke the nation!	en
Girls, how can you not be ashamed? Wear a skirt and a pair of tights!	en
I'm tired of your arguing! You speak different languages, you don't understand each other, and you don't listen to each other.	en
Oh, it's so hard, I don't know how to get out of here, I wrote this to help, but it didn't work.	en
We can live next to Russians. Have you ever heard of a Tatar who gave a Tatar name to their child who married a Russian?	en
The officials who are higher up don't have enough money, and the people are suffering... That's why the prices are rising, those idiots.	en
Take care of your cunt, don't be shy!	en
Nightmare! They are rotten people. 'Let it be' - just throw away your money, if you can afford it.	en
Respect to Syumbel and Ilnur, they don't write nonsense under posts like other idiots, they write based on their thoughts!	en
Why do they call the Tatar language a 'collective farm'? - their mouths are full of shit, they talk like monkeys! That's what I think!	en
Stop yelling, stop yelling, I'm tired of it... damn it!	en
It's a shame. Keep going in the same spirit, idiots!	en
Don't sell your conscience. If you had such thoughts, you would be doing something useful, not just talking.	en
Yes, some people are Russified! Get out, speak Tatar, and answer in Tatar, that's the only way to get a decent response!	en
What language is this? Can't you speak properly?	en
Tatars, it seems, are pulling each other down, and that's not right!	en
Let there be money, and let there be cunts!	en
If they start writing spam in Tatar, it's going to be a disaster!	en
Haha, you can't even start a sentence... You're just like that, idiots!	en
Don't talk nonsense, it's not good... Are you stupid or what?	en
Look at them, they just swear and use bad words, that's all they can do.	en
I'll give it to you! Why? Because! You can't handle the truth! Now I'll shut your mouths!	en
Who cares, it's just crap, let there be cleanliness!	en
If they were normal, they wouldn't be anonymous, and their words would be normal too! So shut your mouths and listen!	en
Check your lives, you're just wasting time!	en
If you're not drunk, and you didn't spend all your money on vodka, what can you tell us?	en
So that Ivan would at least understand us in Tatarstan...	en
There shouldn't be idiots writing in the Tatar group!	en
If they wrote something interesting, people would read it with more interest...	en
Damn it, these people are annoying me... It's not Tataria, it's Tatarstan!	en
I'll throw these bastards out of the car and make them shut up! I'll blow up their mouths!	en
Bulat, damn it, you're right! Russians say 'Russia for Russians', and they consider Tatars to be second-class citizens...	en
You follow people and yell at them, but when they respond, you can't handle it... Your words are just empty talk.	en
There are idiots everywhere, even in Aktanysh... I need to get out of here!	en
Honestly, I'm shocked... Alsu, don't you feel ashamed?	en
Don't talk nonsense, it's not worth it... Did you even think about what you're saying?	en
You're just talking nonsense!	en
Andrey, I think you love Russians too much... Is your wife Russian?	en
Female logic is weird, I'll take the wheat and leave the chaff!	en
A real person wouldn't write like that, it's just nonsense!	en
It's a shame, you'll be killed, you lovers of controversy!	en
At night, when you get up, you will be very hungry.	en
I will feed the baby.	en
Two nipples, which one to choose.	en
The other one is for the older child.	en
Don't say a word, just get on the bed and lie down, and cover yourself with a blanket!!!	en
You need to get up early, and at that exact time, you will go 	en
Do you want to buy blue eyes, stupid?	en
On Saturday, it's like that, stupid, at the wedding.	en
Raph, it's like that, almost finished.	en
We Tatars have one word.	en
Mister, I don't like it, men with many women.	en
Don't be like that, if you have a Tatar wife, you will be very happy, but if you have a lazy husband, he will not work, and he will be useless.	en
Informant, you are an informant, stupid.	en
This is not an animal, it's a donkey, grab the pot and hit it on the head, and throw the kettle.	en
The stupid girl, to hit her, you need to be careful.	en
You are not just a stupid, but also a fool, I will start crying now.	en
For girls, it's necessary to shout and scold.	en
The stupid boys, like this.	en
The chairman's fat face.	en
If you try once, you will be good, but if you don't, you will be bad.	en
And there, stupid, there is no group.	en
You need a big horse.	en
If you castrate, you will become a eunuch, my friend.	en
Go to the doctor, and you will be cured.	en
Viktor, you don't need to masturbate, you are a young boy.	en
You are stupid.	en
Marat, I will come to you, to the barrel, but my butt is too big.	en
You need to hit your head, you have a fever, and you fell unconscious, and at that time, your friends will come to help you.	en
Look, in the photos, there are homosexuals.	en
Mermaids have tails.	en
Every year, they eat fish heads, stupid.	en
In Georgia, they protest for a better life, but in Russia, people are forced to give up their cars and stay at home without rights.	en
The devil took your soul.	en
After nine months, you will be born, and then you will have sex.	en
Some people know how to live.	en
If you cross the red line, you will be punished.	en
Stupid, I will teach you.	en
Sit further, look at the TV.	en
This is your day, March 8th, women's day.	en
It's true, stupid.	en
Now, take the pillow and hit him.	en
Yes, say it, old cartilage.	en
You learned to write in Tatar, really, you are stupid!!!!!!!	en
The road is closed, stupid.	en
Don't cook, stupid, from the beginning.	en
You are happy, but you didn't think about your health, drunkard.	en
Hey, stupid, where are you, did you get lost, or are you still the same, your wife's shoes are stupid.	en
You have a very stupid mouth, shameless.	en
He is hitting you, but you don't care.	en
Until it's torn, it's just a hole.	en
sasik negalet. Yanynda kile torğan tügelder sinen. Beruk iskra çığara kormä inde, eräm bulırsın.	en
Ey şul tişek belän auru, blya disease	en
Kil, birem ipi şurlegenä s noci	en
Kutagın baў bəylərlek bulmasa nicek tagarga son trosnı ee	en
Şuna taba bara inde min considers that normally çonki koşelərne jitərlek tudyrdılar, kubəydələr kursa devać niet know kızlar almost tumuy or tolstushkalar ones křivožopıye们 need denecnı and strong man	en
İratmu ul beleət tfu nahuy	en
Siäse kile Nu sin usırık yaru	en
Öyatsız hanımnarğa kartaygaç ta aqıl kermi, nəfsələrə basılmıy ikən ul biləhii gazaym	en
Säntä kilde də tıçtı ulçəp qaradı	en
Kütəņə bɵkə tıkkann ideņmə	en
Awwlda kızlar qalmadı, şəhər blyadlarını yaşə	en
Eşlisən kilmesə pashul nahuy afrikana	en
Tualetkä tıçıp su belən yuıdırğa scötçık çutlıy čtoli	en
Son podyezdä şuşı ike aякlı xaywan tıçıp yorider	en
Kütən də türıs	en
Dönäynın rətə kettə, suka Ebilərdə resitivist bula	en
Dores, dores, alay gına da tügel ele, jäyen jän səkkən närsələr uıtır monda	en
Kıtınni şav...poydet	en
Paşol nahuy kutakbaş	en
Uzennən kutennə qara dolbayaşçer suka	en
Yazırğa oyren müdak	en
Admin kutakbaş bit, kutak belen uğlay	en
Kilmə, kutak sırlep yormə, uzemədə ez ele	en
Başında ber uğ, bot ar-Assad хуй)	en
Uze tüdıra bara şul uynı kut kursətəp	en
Qırsan katı bulıp çığa, yalt itə. kutennə səkkən xətlə avırtmas	en
Kit avıznını səgiim, kıkəennə təşli bit xəzər	en
Admin tağı Astına siyəp yata	en
Xatın qızlar gına tügel min yasauçı irlərdə baw	en
Berär sən mañçısı ide, nik ber xatın qız kürənsən, nindi bulaysa yarardır	en
Döräs süzgä jävapgä yök, norkaman bulğannçı blät bulağın küpkä yahşı	en
Närsä kürsəņmə səktəņmə	en
E ir at səkkən säyən kartay xaļsəzläne	en
Təmlə pilmennerə törtlər belän kutennən çığa	en
Xoman tägä tıçkak nä uspakoycəs że li	en
Räxətmə, kütəņə ytäsən	en
Baştä isnərlər də annarı şuını üg़ səgəp tä kitərlər. Niklər genä çaqırdım ikən diyařsən	en
Üzəņ kün tilşgə yalağaç, bötən keşe yalıy dip uğlıysıņ, isnəmüçə genä äşkərtərlər, avızınağ kabtırırlar	en
Faşist, gitlernın qaltağı syn paırazıt	en
Kutagım avır bulağınmi son uul	en
Dolboёb qızıq minde k...ak Jaş	en
Sələm pizdabol	en
Şul baş belän tişegəņnə äşkərtə	en
Davay tomala tizərək ul tişek mişeknə	en
Admin Bataka baş	en
Çın səgəç xatın ikän bu	en
Yäptvayu mät uterdə	en
Poxuy diäp yašemisən ele, şep ittərəp koyňa korıp yatäsın	en
Tormoş uzennə səkməsän	en
A Korean came, super macho, fucking girls like that	en
ooo, super macho	en
Is that a toilet? Look, don't touch, bitch	en
Learn to speak first, idiot	en
I'll come and fuck your mother	en
Tatars are sick, they're all perverts, damn it	en
Transvestite or faggot, what's the difference	en
That's what I think, people with heart problems will die from fear	en
They'll shit their pants from fear, bitch	en
What's your problem, idiot	en
Who do you think you are	en
People like you are everywhere, you can be anyone, but you're still a moron	en
You're an uneducated, unmanned moron	en
That's what you need, you freak	en
I'll give you soap as a gift, you idiot	en
Here's your soap, take it and go	en
Go away, idiot	en
You need that, idiot pieces	en
Show me your dick, damn it	en
If she's a girl, how perverted can she be, damn it	en
They probably fucked your mother, damn it, no blood came out	en
You're always in the toilet, only books and toilet, you're the owner of the toilet, damn it	en
Your mother is a passageway to the yard	en
I'll fuck your mother too	en
The idiots were stiff	en
This group is always full of stupid men	en
Stupid girl	en
Beat the idiot with oil	en
Who eats that	en
That's the real Tatar couch, what a stupid idiot	en
I'm an idiot, I'll suck your dick	en
Now the idiots are sitting in this group, damn it, they're just assholes	en
What's this, if it's a street dog, it's understandable	en
Can't just talk, need to kick and scream, get out of here, damn it	en
Who says Ivan is an idiot	en
I'll fuck your mouth, damn it, if you talk about people like that, I'll kick your ass	en
Some kind of stupid transgender	en
What a stupid idiot, what a moron	en
I'll fuck your ass, you have such a big belly, damn it	en
I have syphilis, but I'll still fuck you	en
Idiot, you're mine	en
You're a pure idiot, take thegarbage and go, if you touch, I'll kick your ass	en
Put the condom on, damn it, in the name of God, I'll give you the idiot's handjob	en
Open your mouth, damn it	en
Not your ass	en
I'll fuck your mouth, I'll come in an hour, damn it, I'll kick your ass	en
If I don't eat your ass, I'm not a man, damn it, your boobs	en
Do you call my ass a gift, damn it, you animal	en
They called the idiot a stupid mouth, damn it	en
I'll fuck your mouth, these people are dogs, the idiots are left behind, damn it	en
Well, I'm telling you, when there's no one around, they say, \"Debils!!!\"	en
@user, What are you talking about, you idiot?!	en
@user, Shut up! All whores do that!	en
You're talking about us like we're whores, you freak! Look at the comments and tweets of the girls you like and see for yourself!	en
It's not obligatory to listen to your nonsense!	en
What kind of idiots were outside this morning, yelling and screaming?	en
Are there any young people in Aktanish? Except for the idiots, of course.	en
There are many stupid people in the world, shameless ones. They do whatever they want, right?	en
\"Look at that now. He's working, and his wife is here, playing around and flirting! What a mess!\"	en
What are you staring at? Take this whore and leave, she's ruining the wedding!	en
Don't swear, don't yell!	en
Here are your motivators! Lift your butt and eat less!	en
It's all here now. For girls, it's all about cunt, and for boys, it's all about dick.	en
They call it a monster, but what kind of monster is it, really?	en
It's better to leave than to get a certificate of idiocy!	en
Wow, what kind of stupid things are you writing?	en
You must have lost a good girl, huh? How else can you be so stupid?	en
Here's amoron. Be a girl and shut up!	en
Bulat, don't shut my mouth here, either. Let's talk.	en
Here are the people of Aktanish, what a mess!	en
It can't be helped, it's better if they don't go out on the street at all. Throw them out, throw them out! I'm fed up!	en
Damn it, you all talk and talk, but what's the point of your words?	en
What's the name of that thing you're talking about? It's a person, after all. You have a stupid name, too!	en
\"Do you understand? Your theory doesn't make sense... That thing is just trash.\"	en
It's called a French kiss, but it's not about putting your tongue in someone's mouth, idiot!	en
How much does it cost to buy a tractor, huh? I'm fed up with you!	en
In Aktanish, who's driving a black BMW? Damn, what an idiot!	en
These are idiots... idiots yell like that!	en
That person found it on Google or Yandex, of course. It's not like they have minds of their own.	en
I could even kill them with a key, damn it!	en
I couldn't finish watching it until the end. Something's wrong with my head because of these people.	en
In Aktanish, people don't know anything except how to chain-smoke.	en
A person's happiness is not in their wealth. I don't understand those women, they must be crazy.	en
Who's talking, you damn idiot?!	en
You're not Even a man, you're just a piece of shit!	en
Is there a \"guy\" in Aktanish who doesn't swear at girls?	en
Even girls prefer fuckable guys.	en
The Nazis are like the blues, they only know how to do one thing!	en
You need to be stupid to think like that!	en
I want to tell that guy to get his act together, to shut up!	en
Seriously, what kind of nonsense are you talking about? To me, it's just stupidity.	en
@user, damn it, I know how to argue better than you! Don't yell, I'll come back and respond.	en
How can someone be so handsome, but also be a drunk?	en
So, guys, you invite girls on dates, right? Be a normal guy!	en
Shut up, tyrant!	en
The \"Krymna\" people are destroying our thoughts. Shameless ones.	en
Girls, why do you post such photos? If you were lesbians, that would be one thing, but you're not, so it's not beautiful, it's just stupid!	en
That person doesn't ask, they just take. Stupid.	en
Are you stupid or what? Who do you think you are, talking about women like that?	en
Just do it, don't talk (I'm fed up)!	en
Not provided	en
This is not similar to anything! Do not compare people to animals, just leave it alone!	en
Is this a joke? I'm talking to you, not your ass! You're so stupid, what a pity!	en
I really hate you, if I loved you, I wouldn't say such things, you're an animal!	en
Who told you to shut my mouth?	en
The Aktanysh traffic police have become very rude, they stop you at every corner	en
Damn, just leave me alone, that's enough!!	en
In Turlat, some guys flirt with girls, and then insult them, what's your name?	en
Girls who smoke are whores!!!	en
Why don't you speak Tatar with pleasure and fill your mouth with words?	en
Oh, damn... you don't understand anything!	en
If you're not Tatar, I'll smash your head!	en
Do you want to play with me? I didn't start it, but Islam is the religion of our nation! I said that Jews kill Muslims in Palestine	en
Oh, my brother!!! it's written like that, damn it, I don't understand what's going on :D	en
I called you a stupid old woman, didn't you hear me?! You don't know how to dress, you can't behave in public, you're like a stupid old woman, just sitting in a corner!	en
If my dog looked at me like that, I'd cut its head off.	en
There's no need to get upset here, just think before you write!	en
Guys, don't pay attention to such idiots!	en
Just walk and drink vodka, lose your mind, eat dog meat, and curse Russian children!	en
These people always want to fuck!	en
Don't call it an infantry, it's an unmanned drone bombing, damn American war!	en
I'm a fool, I wear panties, and I'm not ashamed of it!!	en
They're stupid and don't even know how to wear pants!!!	en
This post is so true!!	en
And they take unmarried girls and sit with them, talking nonsense!	en
Scammers, shop owners, and health inspectors - damn it!	en
You always defend idiots, go fuck your idiots!	en
You don't have a dick, what's your name? Don't comment if you don't understand!	en
I was just joking, but seriously, why do you always appear in comments?	en
Don't hit people with your hands, you devil!	en
I'd kill myself if I were in your place, damn it!	en
The stupid question they ask: What's your name? Like I don't know!	en
A woman opened the door of her apartment on the first floor and left.	en
The owner of the house went and said, then our woman went to the apartment and locked the door, and the woman who opened the door was left outside.	en
The guy has a dog that barks at the door!	en
Tatar guys speak Russian, not Tatar, damn it, what's wrong with you?!	en
Why do dogs always sit in this group? Don't bring dogs here, damn it, I hate dogs!	en
I want to meet you in person!	en
Who will choose whom? You or me? You'll understand after the wedding...	en
What kind of question are you asking? Don't ask stupid questions!	en
I don't like pure girls, damn it, fuck off!	en
This cat is very fat!!	en
The owners of these dogs should be locked in a bank vault! Damn it, get rid of them!	en
@user, 'Russians ate' - they say that about people like you. You're a victim of zombification	en
You joined a group of whores and mock our parents' religion - you're not afraid of Allah?!	en
Please, if you write in Tatar, write in Tatar, and if you write in Russian, write in Russian...	en
Boris Yeltsin was a drunkard, he sold Russia, and Putin tried to catch up, but he's still trying!	en
Damn you, gypsy! You don't need a car, you need money!	en
Timur, there's no need to give your girlfriend to any guy!	en
Haha, it's just scary! Don't be afraid, damn it!	en
Well, the idiots have started to get angry!	en
What a wonder, not a single dog is barking at the cuckoo! Maybe they are tired of barking?	en
On the contrary, men buy it, even the dumbest ones, it's a shame to call them men!	en
Ugh, I'm so fed up! I want to get to know them, but they are not interested!	en
They are so annoying!!!	en
What kind of fools are you, Vadim? We don't have anyone to consider as a friend. Leave, and don't speak nonsense!	en
Get out, devil! Where have you been, you little devil?	en
From the very beginning, I was worried that one of my two children would disappear. Oh no, it's a tragedy.	en
I once left a bucket and a pail outside, and someone took them. I'm not surprised, of course, brother.	en
I'm not surprised, of course, brother.	en
I have a friend who loves Zemfira. I really love her too!!! How can we find a compromise?	en
When will this group stop writing nonsense on the phone??? It's annoying.	en
A person who doesn't know anything started talking, and now everyone is listening...	en
It seems that there's no difference between Tatars and Mishars, and it's nonsense to say that Mishars don't like Tatars. You can't even tell who's Tatar and who's Mishar.	en
He showed me the 'kukish', closed the door, and leaned against it from the inside.	en
Regarding the restaurant, it's not important, just look at the green walls, disgusting!	en
Hey people! Answer me! What kind of chemistry are you talking about? A person asks for help, and you respond like drug addicts.	en
I'm so surprised that when I came to Kazan from the village, Tatars speak Russian with each other! Shame on you.	en
@user, just look at what I wrote, where did I write that? Change the record. One of my hobbies is eating fish heads.	en
I know the Russian group, I listened to the audio recording of Lev Leshchenko, where is the Tatar language? You are faithless, I'll leave this trash, may God protect me!	en
I'm against the referendum, it's not needed.	en
Oh, you've finally added our songs to your repertoire, copying from other groups! Can't you write two lines of your own?	en
What a strange people, you've been to the supermarket, but you don't know where the hookah is. Which room is it in?	en
We need to take a photo... We need to get to know each other, damn it! (to Tatar guys)	en
Don't behave like Churkas. Live quietly.	en
At first, I started writing something, but then I got distracted by something else...	en
If someone touches your wife's stomach, they will be praised, but if someone touches your wife, it's not okay. 'Well done'?	en
I've never seen such a road in Ufa, even when I was leaving Ufa. Don't make fun of Bashkortostan!	en
Don't talk nonsense, what kind of Russians are you? Tatar girls who respect their elders don't behave like that.	en
What's wrong with you? Those ticket inspectors are yelling at us like we're guilty of something.	en
Shut up, stupid!	en
What's wrong with you? Those girls who wear short skirts!	en
If that girl was in front of me, I would scream 'You're crazy!!!'	en
Tanzilya, take care of your head, eat fish heads, you need them to live.	en
Be more polite, please!!! Or you'll be like terrorists!!	en
Tatar girls should never marry Russians!!!	en
Why do you always write in Russian? All your posts are in Russian. You're not Tatars, you're Russians!	en
Do you want to make a subordinate out of me?	en
What a bad person you are. I don't want to be like that!	en
Only an animal can behave like that!	en
Do you think I live in a 'fascist' country?	en
Take care of your belly, boy, be careful!	en
I think people are not worse than animals here.	en
You're not even listening to me, Ilyshat.	en
I'm telling the truth, when I see a Tatar girl with a Russian guy, I want to kill them!	en
If they write in Tatar, they start talking, but here they write in Russian. It's clear: they've been sold to the Russians!	en
A girl loves my boyfriend, and I want to kill her, she's crazy!	en
And in Tatarstan, they don't ask what Tatars need, they just do what they want!	en
Oh, I wish I could catch that person... There's no one like Aktanish who can talk back!	en
You just sit there and write 'nu sin bit', it's so rude, Aynur!	en
What kind of nonsense is this? Don't bother me with your empty talk!	en
What's wrong with you? Those girls who wear short skirts!	en
Pilet quickly ran out, what's going on?!	en
Speak Tatar, you lazy ones!!	en
What's up, anyway, let's go, shall we?:)	en
Our people are dying, and you're not even worried?! What's wrong with you? I love Marzhan, should I go and get lost or what?!	en
Take and kick out our \"sekim de\" from among our people!	en
Be careful with your fakes	en
Why do you communicate with each other like this, are you crazy?	en
What a spring, the water is cold, let's drink	en
Almir, for them it's all the same, urine or water	en
Gulnara, oh God, how much time has passed, it seems	en
Bullshit, the main thing is cleanliness!	en
Matvey, I asked you how the internet is, damn it	en
Matvey, and the roof, I'm tired of your meaningless conversations, damn it	en
You're flirting with other girls, and then you scold them	en
Well, you're all just girls..)	en
If girls went to the army, would the guys be able to handle it? I don't think so!	en
You're complete idiots, why do you behave like this?!	en
There are no girls who want to get out, because of the Etkei and Enkei clans, damn it	en
Most girls behave like this, they flirt with guys and then ignore them, and in the end, they just choose one	en
Hey, hey, anonymous, don't flirt with me on my photos! You're \"neste\"!!!	en
We don't care, but we express our opinions	en
Are you tired of us?! Do you want to be friends or what?	en
You're completely impotent, damn it, why do you write like this?	en
Tatar guys are like this when they think about girls, damn it, look and see	en
I'm free now! What was I waiting for?	en
Don't write such empty words, \"show your level\", damn it, I'm tired of you!	en
You should wash your hands, damn it, why are you sitting there, anonymous?	en
What's your business here?! Is it your problem or what?	en
It's not a shame to ask questions, but it's a shame to sit like you, damn it	en
We're not brave, but our people agree with us, and they just look at us	en
Damn it, I'm tired of this, every time you write nonsense..	en
You're worse than the idiots in the market, you just sit and chat	en
You're so stupid, what's wrong with you...	en
Get out of here, damn it, I'll throw you out if you say one more word	en
And then you start flirting right away - showing off, the football players will see you, damn it, no need for that	en
Sit on your own, damn it, are you kidding me?	en
How many idiots have you deceived?	en
Tatars are always like this, damn it	en
Lesya, a horse in a saddle, if you don't know what to do, don't touch it	en
Get out, Gata!	en
Look, they're walking like a goat, damn it	en
What's beauty got to do with it, damn it, what's the point of talking about beauty?	en
I wrote this for the nest, damn it, I love you	en
This is made for blacks, I won't take it, damn it	en
Girls, if your guys want to have sex, what will you do?	en
I'm tired of your questions \"where can I study?\", damn it, not anonymous	en
Damn it, where were you, I haven't seen you around here	en
I'm tired of your Vatsap, damn it	en
Now I think, damn it, I'm tired of you	en
Yes, I'll sit in the toilet and think..)	en
No translation provided for this string number as it was not in the original list	en
