ID	toxic_elem	non_toxic_elem
0	Э блэт,мин футбол уйнарга яратам)	Э блэт,мин футбол уйнарга яратам)
1	Дорес эйтэсен авызынны сегим))))))	Дорес эйтэсен авызынны
2	блэт ойгэ бэрэнге корты керган,шуна нинди исем кушып була??	ойгэ бэрэнге керган,шуна нинди исем кушып була??
3	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!	корт малай,...или..кыз...хуй пойми короче,но булышыгыз зинхар!
4	Узен сегеп ташларбыз бля	ташларбыз
5	теге, чуркалар сатып йорилэр бит эле обычно...шуны эйтэсенме?	сатып йорилэр эле обычно...шуны эйтэсенме?
6	узе усэ ул, заебали ул тырнакларыгыз белэн	усэ тырнакларыгыз белэн
7	егетем долбаеб,ни акчасы ни машинасы юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн идем упкэлэде	долбаеб,ни ни юк,ни эшлэми,эшлэргэ уйлыйсынмы дигэн упкэлэде
8	татарларның башка эше юк ич, марҗаның китабын тәрҗемә итәләр..	эше ич, марҗаның китабын тәрҗемә
9	пиздец, алкашка чыгарып бетерделэр и вообще, кем эйтте сон сезгэ мин эчтем дип_))	чыгарып бетерделэр и вообще, кем сон сезгэ мин эчтем дип_))
10	админ анонмно тугел дидем бит раздолбай булма инде)	админ анонмно раздолбай булма
11	бля))))маладис инде узен)))))	бля))))маладис
12	Хәзер инде бу сүз белән ахмак яки наив кешеләрне атыйлар.	Хәзер сүз белән ахмак яки наив
13	Эчсен,тартсын,маржа гына булмасын   	Эчсен,тартсын,маржа булмасын
14	нинди ахмаклар йортэ бездэ машинаны???	нинди йортэ машинаны???
15	Сэгэтлэп жибэрсэн выгодней,снимать итеп кылар бн ял итучелэр да@хуя булыр)))	Сэгэтлэп жибэрсэн выгодней,снимать итеп бн итучелэр да@хуя булыр)))
16	Аделия узе язып мазга  сегеп утырадыр эле))))	Аделия язып мазга утырадыр эле))))
17	ох блэт кызлар))	
18	узегездэн генэ алихэ ясамагыз инде бля!	генэ алихэ
19	язасын кайбер вакытта жавапта язмыйлар, каблук астына керу туйдыра например, вот потом и хуй забивают	язасын кайбер вакытта жавапта язмыйлар, каблук керу туйдыра например, вот потом и забивают
20	Сугенмэ, блэт!:))	Сугенмэ,
21	Сезгэ шул бляльлэр генэ кирэк инде йоргэндэ ...	Сезгэ бляльлэр генэ кирэк йоргэндэ ...
22	Эбием-татар карчыгы-булэклэр бирми иде, маржаны яраткан эчен каргый да, тирги иде	Эбием-татар карчыгы-булэклэр яраткан эчен да, тирги
23	Ой, башка группадан спиздили инде бу язманы)	Ой, группадан спиздили язманы)
24	хуйня инде бер суксан ката торган, куркып тормаска кирэк юк бар нэмэдэ	бер ката торган, куркып тормаска кирэк бар нэмэдэ
25	кеше бит нехира мында юк	нехира
26	ошамай икэн уебывайте,берседэ тотмый.	уебывайте,берседэ тотмый.
27	Все заебали,кайсы кызга барып эндэшмэ бар да блядь .......	Все заебали,кайсы кызга барып эндэшмэ бар да .......
28	Матур,аххххуенный жырлар жибэрегез эле дуслар;))	Матур,аххххуенный жибэрегез эле дуслар;))
29	Не заебалисьмы кызларны чэйнэп?	Не заебалисьмы чэйнэп?
30	хуйня ул, главный тазалык булсын_)))	главный
31	секте моны укырга  кыскача гына эйтеп бирегез.	секте укырга кыскача
32	эллэ маржалар безнен турында кыек суз эйтте?	турында кыек
33	Бу "не татарин" туйдырды инде, энэ маржушкаларга влюбляться итсен, татар кызларына карап селэгэй агызганчы	"не туйдырды энэ маржушкаларга влюбляться итсен, селэгэй агызганчы
34	а никого не нужно учить,ак каенга ак каен,уз раздолбай булсан шушы хатан да сина элэгер!	а никого не нужно учить,ак каенга ак каен,уз раздолбай булсан да элэгер!
35	татар кызы татарча язган булыр иде)маржа?	язган булыр иде)маржа?
36	шул кадэр синен яраткан ризыгынны бирсэлэр син дэ в ахуе булыр иден	кадэр синен яраткан ризыгынны бирсэлэр дэ в булыр иден
37	авызынны сегим сарык бля, булды житэр инде, мин анын бн сойлэшмим дэ	авызынны сарык мин анын бн сойлэшмим дэ
38	2 симкалы 2 нече эшлэми нихера)	2 симкалы 2 нече нихера)
39	оглянулся ниндидер охуенный зур хуйня очып китте, эт чаклы узе, койма остеннэн, жил чыгарып, яктыурыннан очканда канатларын курдем где то 2-3 метр не меньше	оглянулся ниндидер охуенный зур очып китте, эт чаклы койма остеннэн, жил чыгарып, яктыурыннан очканда канатларын курдем где то 2-3 метр не меньше
40	актанышта педиклар купме??	педиклар купме??
41	маржа телде аралашасын..татарлар бэлэн	телде аралашасын..татарлар бэлэн
42	синен, очен государство тугел дер, минем очен ул туган ил, государство бляяять!	синен, государство дер, минем ил, государство
43	Узем кайтам хэзер блэт:)	Узем кайтам хэзер
44	А мин ана эйттем: блэтлэрен кырнда бул, конлэшеп чере!	А мин ана эйттем: блэтлэрен кырнда бул, конлэшеп чере!
45	эх сез мескенлер, маржаларга ярарга булып бирелесез...уз туган телебезге горур булмый шул хадер матур телебезге.	эх сез мескенлер, ярарга булып бирелесез...уз телебезге горур булмый хадер матур телебезге.
46	Ешрак курсэтегез шул матур халыкны безнен блэтлэргэ, может уянып та китэрлэр.	Ешрак матур халыкны блэтлэргэ, может уянып та
47	ярый инде шунда эзерэк лох булырга	шунда булырга
48	Алтын Балыкка керен, так наебут, исерсэн здача бирмилэр, хэм кешедэн калганын  саталар!!!!	Балыкка так наебут, исерсэн здача бирмилэр, хэм калганын
49	Ахуенный жегеь Ильдар тугелме?:)	Ахуенный жегеь Ильдар
50	элек изге айда лохотрон бар иде)))5 сум тыгып акча коела торган))))))))	элек изге айда лохотрон бар сум коела торган))))))))
51	Бляяя нинди замана сон бу???	нинди замана сон
52	 Уже баганаларга доебались!	Уже баганаларга доебались!
53	Делать нех кешегэ!	Делать нех
54	Сораштыру үткәрергәме әллә,төркемне"марҗалар поймут"дип үзгәртергә?	Сораштыру үткәрергәме әллә,төркемне"марҗалар поймут"дип үзгәртергә?
55	Бушка бар анда, ансы так сказать "гавно" ул.	бар анда, ансы так сказать
56	Татарлар, ахмак булмагыз инде, үз җирегезгә хуҗа булыгыз!	ахмак үз җирегезгә хуҗа булыгыз!
57	эстэгэфирулла,нэрсэ дип яза бит,блэт)	эстэгэфирулла,нэрсэ дип яза бит,блэт)
58	охшамаса безнен авыл клубы,кит моннан)	авыл клубы,кит моннан)
59	Урыслашып беткәнсез инде, мин магазиннарда, башка урыннарда гел татарча сорыйм, татарча җавап бирәләр, хәтта марҗалар да татарча аңлый.	беткәнсез мин магазиннарда, урыннарда гел сорыйм, җавап бирәләр, хәтта да аңлый.
60	Яраткан кызым бар, тик ул егетләр бн аралаша, бывшыйлары яза  и дуслары,  үзе сөйли бар нәрсәнедә, егетләр бн очрашып йөри урамнарда йөрилар,  әйтегеә ничек көнләшүемне тотып торырга,  баырп күтләрен сегәсе килә( гафу итегез шундый сүзләргә)?	Яраткан бар, тик бн аралаша, бывшыйлары яза и дуслары, үзе сөйли бар нәрсәнедә, бн очрашып йөри урамнарда йөрилар, әйтегеә ничек көнләшүемне тотып торырга, баырп күтләрен сегәсе килә( гафу итегез сүзләргә)?
61	алкаш кешенен виськар тугел сасыган сэмэйгэ дэ акчасы булмый, хуйню не несите люди	виськар сэмэйгэ дэ булмый, не несите люди
62	у него дохуя баб будет сина гына калмас эле))))))	у него дохуя баб будет калмас эле))))))
63	заебали сез аяк атстына шартлаткыч	сез аяк атстына шартлаткыч
64	блэт, бу дорожникларнын акыллары бар микэн?	дорожникларнын акыллары бар
65	Сонгы сериясе булды буген,уксеплэр жыладым,не справедливо булып бетте блэт (((	Сонгы сериясе буген,уксеплэр жыладым,не справедливо булып бетте (((
66	Бу төркемдә (башкаларда кебек үк) ахмак әйберләр язучылар да, ясаучылар да бихисап, барысына җавап бирү яки аларның мөгамәләләре белән баш вату урынсыз.	төркемдә үк) ахмак әйберләр язучылар да, да бихисап, җавап бирү яки аларның мөгамәләләре белән вату урынсыз.
67	Сегенмэээн:)нихуя алай тугел:)	Сегенмэээн:)нихуя
68	кызык долбаеб егетнен кызы кем була икэн?	егетнен кем була
69	Дуслар маржа кызлары белэн йорегез,алар добрый,не то что безнен куктэн "очып" йори торган Актаныш кызлары	Дуслар белэн йорегез,алар добрый,не то что куктэн "очып" йори торган
70	Алмаз, марҗа кызын кияүгә ал	Алмаз, кияүгә ал
71	тышка чыгыгыз эле эз генэ булса да заебали	тышка чыгыгыз эле эз генэ булса да
72	яшэргэ ойрэтэ ул мине блэт... узенен кулыннан кутак ярысы да килми, айныгач махмырдан улеп бара торган кеше генэ инде узе)))	яшэргэ ойрэтэ мине кулыннан ярысы да килми, айныгач махмырдан улеп торган генэ
73	Малолетка кызлар дохуя икэн:)	Малолетка дохуя
74	бля сезгэ катле безнен эни эбилэр бетенесен эшлэгэннэр бит эле зарланмаганнар)	сезгэ катле эни бетенесен эшлэгэннэр эле зарланмаганнар)
75	Уз кузен белэн курмэсэн жыен эктем-сектемнен сузенэ ышанып ятма Регинакаем......	кузен белэн эктем-сектемнен сузенэ ышанып ятма Регинакаем......
76	Нах яздыгыз бля,мина садиктан добавляются уже кызлар:ъ	бля,мина садиктан добавляются уже
77	не ну вы вот че херню несете,сина кеше "бир" дисэ барып бирэсен мени??	не ну вы вот че несете,сина "бир" дисэ барып бирэсен мени??
78	кутен кергэн малым юк, ата- ана малы калмады, тапканыбыз хэлэл.	кергэн малым ата- ана малы тапканыбыз хэлэл.
79	Исэн,берни булмаган анда,пиздеж	Исэн,берни анда,пиздеж
80	Не хуя да гонах тугел инде аларга ышану)	Не хуя да гонах ышану)
81	Арча урамнары бик сагындыра бляха муха))	Арча урамнары бик сагындыра бляха муха))
82	бер нормальный кыз калмадыга дигэн егеткэ кайнар сэлам:)плохо ищешь,значит, лох син:)	бер дигэн кайнар сэлам:)плохо ищешь,значит,
83	Салкын монда блэт	Салкын
84	Кем куймый шул усрак)))	Кем куймый
85	пиздец бля, бер карыйм дорес чыга, тагын карыйм нихуя	бер дорес чыга, нихуя
86	Кем минем МужиГка пиздец ясый анда?	Кем минем МужиГка ясый анда?
87	выебываться итер очен чабкан кешелэр ну сез далбаеплар,сез анлагыз инде ременьда гел булышмый,результатлар печальный була,эйдэгез экренлэп кенэ по правилам ойри башлыйк э?	итер чабкан ну сез далбаеплар,сез анлагыз ременьда гел булышмый,результатлар печальный була,эйдэгез экренлэп правилам ойри э?
88	юк блэт :)	:)
89	"Эйэгез"-заебал бу суз...	"Эйэгез"-заебал
90	ике егет бер кыз очен кут ертып йорергэ тиеш тугел инде))	ике бер кут ертып йорергэ тиеш
91	КГЭУ да дохуядан да күберәк Татарлар!)))	КГЭУ да дохуядан да
92	Татар кызы ни, маржа ни- кайда аерма курэсез?	ни, ни- кайда аерма курэсез?
93	Марҗа  егетләрнең  чыраен  җимереп булса   марҗа  кызлары  белән  нишләргә)	чыраен җимереп булса белән нишләргә)
94	Купчелек  бит марҗа кызлары  каршы  чыга  татар теленә .	Купчелек чыга .
95	Алай итеп түгел инде, ахмак – озын итеп!	итеп ахмак – озын итеп!
96	Нихуя хочу дип кенэ булмый Инде ))))	Нихуя хочу дип булмый ))))
97	кутенэ тибэсе килэ ахрысы анын сина	тибэсе анын
98	корсаклы булмаса бер суземдэ юк,но блять на хуй ребенка травить	корсаклы булмаса бер суземдэ юк,но ребенка травить
99	Айгуль, эйе, татарлар тырышмыйлар маржаларга бирергэ.	Айгуль, тырышмыйлар бирергэ.
100	шапшак дип эйтэлэр	шапшак дип эйтэлэр
101	моллиегезне тотып сия белмэгэн башыгыз бн, 15-16 яшьлеклэргэ ымсынасыз эллэ????	моллиегезне тотып сия белмэгэн бн, 15-16 яшьлеклэргэ ымсынасыз
102	Бу маржа теле бер паразит кебек, тик ияреп йори шунда	теле бер тик ияреп йори шунда
103	Кыз алдаша башлады эле,кутенэ тибергэ микэн?	алдаша тибергэ
104	Татарча сөйләшәсезме бләт ?	сөйләшәсезме ?
105	Акыллы кеше аздан гына да бәхетле, ахмакка һәрвакыт җитми, шуңа күрә бик күп кешеләр бәхетсез (Франсуа де Ларошфуко).	Акыллы аздан да бәхетле, һәрвакыт җитми, шуңа күрә бик бәхетсез (Франсуа де Ларошфуко).
106	Кызлар очен икесе дэ хуйня булырга тиеш, вообще то!	икесе дэ булырга тиеш, вообще то!
107	Кутак башлар блять	
108	уляяяям мин хэзер, бу  херняны  ятлап	уляяяям мин хэзер, ятлап
109	бэтэк авыз,"кызым сина да" кая?:)	авыз,"кызым да" кая?:)
110	яратыгыз блэт аларны да,аларнын да бит йорэклэре бар!!!	аларны да,аларнын да йорэклэре бар!!!
111	80 елларда гел жигули, ваз, москвичта йоргэннэр берседэ гавно дип эйтмэгэндер эле!	80 елларда гел жигули, ваз, москвичта йоргэннэр дип эйтмэгэндер эле!
112	Кешешэ чэ телдэ яз эле заебал)))	чэ яз эле
113	Минем потолокка фотка ябыштырса берэу, эни башын сегеп ата)	Минем потолокка фотка ябыштырса эни ата)
114	Язуларга бэйлэнуче дахуя эмма соруга берэудэ жавап язмый шул!!!	Язуларга бэйлэнуче дахуя эмма соруга жавап язмый
115	ул лох тугел ул белем алырга телэгэн кеше була)	белем алырга телэгэн була)
116	атырга нахуй!	атырга
117	бля... минем ир тугел микэн	минем ир
118	шулай да Илсөяр дә ахмак	да Илсөяр дә ахмак
119	рэхмэт укытучыларга лучше укыр идем блять!!!	рэхмэт укытучыларга лучше
120	КАЙБЕР малайлар вообще охуели, млээээ сарык жыен.	КАЙБЕР малайлар вообще млээээ сарык
121	ууу,нинди нэфрэт чуркаларга,нишлэттелэр алар сине?))	ууу,нинди нэфрэт чуркаларга,нишлэттелэр
122	блэт нормальный кешеседэ калмады бу доняда,кичэ бер эби егылды,ничэмэ кеше узып китте берседэ булышмады,кая бара бу доня?	доняда,кичэ бер эби егылды,ничэмэ китте доня?
123	машина хлоп артка бара, блэт анда артта кирпичлар тора иде, бәргән кароч.. (((((((	машина хлоп артка анда кирпичлар тора бәргән кароч.. (((((((
124	Ятим бала тагын Кыш бабайга хат яза: Рэхмэт сина зур итеп кыш бабай, мин шундый бэхетле дие... ШАПКАН очен, БИЯЛЭЕН очен э менэ шарфны почтада спиздели норверное дигэн! )))	Ятим Кыш бабайга хат яза: Рэхмэт зур итеп кыш бабай, мин бэхетле дие... ШАПКАН БИЯЛЭЕН э менэ шарфны почтада спиздели норверное дигэн! )))
125	чуркалар хэр кызга бэйлэнэдер алар)))	хэр кызга бэйлэнэдер
126	Хатыннары маржа тугель ме?	Хатыннары ме?
127	татарИН дигән сүздән китә белмәделәр инде безнең ахмаклар.	дигән сүздән белмәделәр безнең
128	Да лох син, яшьрэклэре беткэн чтоли?	Да яшьрэклэре беткэн
129	юк, ниндий туңырга)) без -40 тышка щегабыз усрак айлягргя))	ниндий туңырга)) без -40 тышка щегабыз айлягргя))
130	Ващее пиздец эзрэк ашарга кирэк	Ващее кирэк
131	охуен жыр аааа!!!!	охуен жыр аааа!!!!
132	Салып торып жибэр берне пиздюкка	торып берне
133	Икенчесе шул ТАТАР теле белән язылышылырга тик "ә" хәрефе урынына "э" хәрефен куймаска урыс тугел дер ич беләт!	Икенчесе теле белән язылышылырга тик "ә" хәрефе урынына "э" куймаска дер ич беләт!
134	иренмәгез авызыңны сегим!	иренмәгез авызыңны
135	компын хуйня булгач булмый инде ул	компын булгач булмый
136	Блин,кайчан туктыйсыз сез,жыен хуйня язудан...	Блин,кайчан туктыйсыз сез,жыен язудан...
137	Бу маржа эбидер, бер дэ татарча сейлэшэ алмый.	эбидер, бер дэ сейлэшэ алмый.
138	Акча дохуя булса -була!)	дохуя булса -була!)
139	схуяли мишэрлэр то?	мишэрлэр то?
140	наполовину татарка, наполовину армянка булса марҗа була инде.	наполовину наполовину армянка булса була
141	Сария мозга сегеп утырма монда!!!!!	Сария мозга
142	Кызык блэт,кечкэ куып бетертем	блэт,кечкэ бетертем
143	Ике аягымда сызлый утереп, иртэгэ "матур" кон булыр ахры.блять	Ике аягымда сызлый утереп, иртэгэ "матур" булыр ахры.блять
144	Зур эш эшлэгэнсен икэн пиздец	Зур эш эшлэгэнсен
145	ваще лоханулась , огэ пробный, укытучыга эйтеп тора идем организатор гына эйбэт булсын иде дип, упс янда укытучы тора бутэн, мин аны тоже безнеке кебек сопровождающий дип торам ,э ул ,блин,организатор булып чыктыы.....	ваще лоханулась , огэ пробный, укытучыга тора организатор эйбэт дип, упс янда укытучы тора бутэн, мин аны тоже безнеке сопровождающий дип торам ,э ,блин,организатор булып чыктыы.....
146	Ох бля чапайлар килде((	чапайлар
147	как будто алар бу доньяда ин куп курган халык,бля минем эби даже алай ук ойратми..	как будто доньяда халык,бля минем эби даже ойратми..
148	давай юк бар кинэш биреп инетны засорять итеп утырман але,щенок	бар кинэш биреп инетны засорять итеп але,щенок
149	Кызларга яланымаска ялынсан кызлар эйтэлэр эй бу тегэлэй итте болай ите дип нахуй ялынмагыз бер кайчанда китсэ китсен значит ул синеке тугел табырсын эле дахуя ич алар беткэн мени эле аннан сон 30-40 белэн танышкан иле секкэн минемчэ ялынмаска	яланымаска ялынсан эйтэлэр тегэлэй итте ите дип ялынмагыз бер кайчанда китсен значит синеке табырсын эле дахуя ич беткэн мени эле сон 30-40 белэн танышкан иле секкэн минемчэ ялынмаска
150	Егэ огэ прочий хуйня кирэк тугел дип уйлыйм	Егэ огэ прочий кирэк дип уйлыйм
151	бля кочаклап алып пэп итэм))))	кочаклап пэп итэм))))
152	Ә мин барбер кибеткә керсәм,иң башта "исәнмесез"диям,татар булса,сатучы татарча җавап бирә,шунсы куандыра,кайбер марҗалар,вата-җимерә булса да,татарча җавап бирергә тырыша,кайберәүләр татар була торып та, русча сөйләшүен дәвам итә,ачу килә аларга((	Ә мин барбер кибеткә керсәм,иң "исәнмесез"диям,татар булса,сатучы җавап бирә,шунсы куандыра,кайбер марҗалар,вата-җимерә булса җавап бирергә тырыша,кайберәүләр була торып та, сөйләшүен дәвам итә,ачу килә
153	Мама русская булгач марҗа була инде, аңа татар теле кирәкми.	Мама русская булгач була аңа теле кирәкми.
154	мин блэт тугел)	мин
155	пиздец кызык булды..	
156	сагындым блэт...кайтасы килдеее(((=*	сагындым блэт...кайтасы килдеее(((=*
157	Ычкыныгыз блэтлэр, дип кычкырганнанр...	Ычкыныгыз блэтлэр, дип кычкырганнанр...
158	Бэлки ул кыз "блэтлэнеп" йоргэндер?)))	Бэлки "блэтлэнеп" йоргэндер?)))
159	нахуй кирэк правасыз йореп булмый боларда(	кирэк правасыз булмый боларда(
160	Мине маржага охшаталар	Мине охшаталар
161	бер кем дэ белми шул блэт...	бер кем дэ белми
162	нихуяда уйный алмыйлар	нихуяда уйный алмыйлар
163	чокырга рэсем,бик матур рэсеееем,мдааааа...сау булыгыз арчалылар,блять	чокырга рэсем,бик матур рэсеееем,мдааааа...сау булыгыз арчалылар,блять
164	Сегим нахуй ял итеп тумадым эле мин.))	итеп тумадым эле мин.))
165	Ебать арагызда долбоеблар бар узлэренен плоский юморлары белэн,мина стремно сезнен очен егетлэр	арагызда бар узлэренен плоский юморлары белэн,мина стремно сезнен
166	Уф...бетмэде мени эле ул, лохотрон и все, онытыгыз инде шул акчаларыгызны.	Уф...бетмэде мени эле лохотрон и все, акчаларыгызны.
167	Шундый яхшы кеше, лякин маржага ойлендэ....	яхшы лякин ойлендэ....
168	пиздец сез	сез
169	марҗалар безне җиңелмәс	безне җиңелмәс
170	бля назил буген армиягэ китэ(	назил буген армиягэ
171	татарча яза башлыйм инде,заебали!)	яза инде,заебали!)
172	татар палатасы блэт	палатасы
